Category,Name,Description,Price,Note,,,,,,
,อเมริกาโน่มะพร้าว,,70,,,,,,,
,อเมริกาโน่น้ำผึ้งมะนาว,,70,,,,,,,
NON COFFEE,ชาไทย,,50,,,,,,,
,โกโก้,,60,,,,,,,
,ชาเขียว,,60,,,,,,,
,ชามะนาว,,60,,,,,,,
ITALIAN SODA,บลูพาราไดซ์,,60,,,,,,,
,สตอเบอร์รี่,,60,,,,,,,
,บ๊วยมะนาวโซดา,,60,,,,,,,
,น้ำผึ้งมะนาวโซดา,,60,,,,,,,
เครื่องดื่มกระป๋อง,เป๊บซี่,,20,,,,,,,
,เป็บซี่ไม่มีน้ำตาล,,20,,,,,,,
,โค๊ก,,20,,,,,,,
,โค๊กซีโร่,,20,,,,,,,
,แฟนต้าแดง,,20,,,,,,,
,แฟนต้าเขียว,,20,,,,,,,
,แฟนต้าส้ม,,20,,,,,,,
,แฟนต้าองุ่น,,20,,,,,,,
,สิงห์เลมอนโซดา,,20,,,,,,,
,ชเวปมะนาวโซดา,,20,,,,,,,
น้ำอัดลมขวดใหญ่,เป๊บซี่(1ลิตร),,40,,,,,,,
,โค๊ก(1.25ลิตร),,50,,,,,,,
,แฟนต้าแดง(1.25ลิตร),,50,,,,,,,
,แฟนต้าเขียว(1.25ลิตร),,50,,,,,,,
,แฟนต้าส้ม(1.25ลิตร),,50,,,,,,,
,แฟนต้าองุ่น(1.25ลิตร),,50,,,,,,,
,,,,,,,,,,
น้ำเปล่า,น้ำเปล่าขวดเล็ก,,10,,,,,,,
,น้ำเปล่าขวดใหญ่,,20,,,,,,,
,โซดาสิงห์,,20,,,,,,,
แอลกอฮอล์,เบียร์ช้าง,,69,,,,,,,
,เบียร์ลีโอ,,79,,,,,,,
,เบียร์สิงห์,,89,,,,,,,
,สปายคลาสสิค,,39,,,,,,,
,โซจูไม้ไผ่,,99,,,,,,,
,โซจูยาคูลท์,,99,,,,,,,
,โซจูพีช,,99,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
